speaker,word,glide,vowel,glideF1,glideF2,vowelF1,vowelF2
JK,boo,none,u,,,312.556935,785.117498
JK,cool,none,u,,,329.03588,701.681871
JK,heap,none,i,,,315.03945,2297.094425
JK,heed,none,i,,,314.375429,2384.622503
JK,hoop,none,u,,,338.525087,736.205776
JK,key,none,i,,,292.497093,2270.476006
JK,see,none,i,,,286.616247,2333.423466
JK,wag,w,ae,389.340332,706.182093,553.290808,1754.81929
JK,wash,w,a,379.341316,604.752384,644.876837,1040.297032
JK,wax,w,ae,371.70832,784.650995,556.656852,1691.238681
JK,weak,w,i,344.348627,675.654346,289.816665,2255.641198
JK,weed,w,i,348.529253,708.626712,296.229121,2389.385881
JK,well,w,e,390.410033,746.462296,482.973291,1662.377866
JK,wet,w,e,406.950729,802.000484,555.066709,1628.377661
JK,who,none,u,,,321.155989,729.236729
JK,wok,w,a,400.251242,580.452969,662.021844,1062.394082
JK,yacht,j,a,288.550629,2172.933914,734.642717,1239.683323
JK,yak,j,ae,297.810407,2156.464238,674.245864,1420.46729
JK,yap,j,ae,280.797828,2116.219711,609.906457,1402.727361
JK,yard,j,a,279.932122,2087.866698,625.775006,1181.209859
JK,yeast,j,i,261.359899,2478.303442,309.793309,2283.296519
JK,yell,j,e,267.721477,2133.934814,441.30931,1752.675987
JK,yet,j,e,264.508142,2177.491327,588.403614,1333.444476
JK,yield,j,i,272.911481,2288.422633,308.948962,2279.301821
KW,boo,none,u,,,459.9,1519.2
KW,cool,none,u,,,438.3,819.8
KW,heap,none,i,,,347.4,2350
KW,heed,none,i,,,375.5,2763
KW,hoop,none,u,,,340.8,1231
KW,key,none,i,,,359.3,3072
KW,see,none,i,,,310.7,3066
KW,wag,w,ae,436.6,703,1075,1923
KW,wash,w,a,389.4,758.6,867.6,1047
KW,wax,w,ae,424.5,808.7,1098,1781
KW,weak,w,i,460.1,712.2,461.1,3249
KW,weed,w,i,435.3,804.6,477.6,3026
KW,well,w,e,455.2,723.9,751.7,1751
KW,wet,w,e,447.2,874.3,730.8,2075
KW,who,none,u,,,418.6,1538
KW,wok,w,a,508.8,814.9,881.2,1133
KW,yacht,j,a,485.2,2590,972.7,1596
KW,yak,j,ae,443.1,3184,945,1958
KW,yap,j,ae,485,3175,1075,1803
KW,yard,j,a,346.7,2452,881,1659
KW,yeast,j,i,415.6,2941,314.1,2845
KW,yell,j,e,450.7,2589,852.1,1855
KW,yet,j,e,416.7,3154,884.9,2032
KW,yield,j,i,445,3167,477,2558
LP,boo,none,u,,,326,1391
LP,cool,none,u,,,338,862
LP,heap,none,i,,,284,2749
LP,heed,none,i,,,308,2917
LP,hoop,none,u,,,309,1303
LP,key,none,i,,,296,2851
LP,see,none,i,,,277,2805
LP,wag,w,ae,420,806,821,1488
LP,wash,w,a,366,784,647,939
LP,wax,w,ae,132,923,792,1399
LP,weak,w,i,296,1230,286,2781
LP,weed,w,i,341,1002,278,2793
LP,well,w,e,360,773,684,1321
LP,wet,w,e,377,842,729,1591
LP,who,none,u,,,301,1284
LP,wok,w,a,376,724,653,990
LP,yacht,j,a,340,1874,767,1332
LP,yak,j,ae,339,2683,798,1667
LP,yap,j,ae,325,2666,793,1589
LP,yard,j,a,303,2717,640,1179
LP,yeast,j,i,281,2726,285,2726
LP,yell,j,e,374,2499,628,1202
LP,yet,j,e,349,2642,659,1687
LP,yield,j,i,288,2703,343,1730
TD,boo,none,u,,,304,1326
TD,cool,none,u,,,336,580
TD,heap,none,i,,,267,2229
TD,heed,none,i,,,275,2171
TD,hoop,none,u,,,279,1116
TD,key,none,i,,,282,2080
TD,see,none,i,,,306,2111
TD,wag,w,ae,273,716,646,1578
TD,wash,w,a,277,628,628,1076
TD,wax,w,ae,335,637,651,1558
TD,weak,w,i,229,593,264,2026
TD,weed,w,i,240,534,275,2159
TD,well,w,e,291,565,490,1049
TD,wet,w,e,358,802,557,1589
TD,who,none,u,,,308,1400
TD,wok,w,a,315,571,701,1072
TD,yacht,j,a,284,1949,661,1218
TD,yak,j,ae,293,2014,530,1654
TD,yap,j,ae,279,1913,684,1598
TD,yard,j,a,268,1963,567,1143
TD,yeast,j,i,279,2062,260,2220
TD,yell,j,e,278,2007,572,1129
TD,yet,j,e,279,1988,587,1559
TD,yield,j,i,274,1864,288,2028
YH,boo,none,u,,,275.135193,1281.06019
YH,boo,none,u,,,269.476138,1148.212833
YH,cool,none,u,,,346.494624,762.149379
YH,cool,none,u,,,306.664519,729.160591
YH,heap,none,i,,,309.831675,2461.057122
YH,heap,none,i,,,298.574813,2349.369908
YH,heed,none,i,,,284.136843,2383.027091
YH,heed,none,i,,,,
YH,hoop,none,u,,,285.425631,737.805137
YH,hoop,none,u,,,282.4443,833.525178
YH,key,none,i,,,279.66397,2445.237447
YH,key,none,i,,,272.204419,2303.513375
YH,see,none,i,,,289.113043,2245.35804
YH,see,none,i,,,290.349821,2257.297648
YH,wag,w,ae,404.691807,918.425649,942.274053,1567.928397
YH,wag,w,ae,446.64682,1029.73643,918.544842,1542.400254
YH,wash,w,a,386.840951,718.369954,680.530071,1036.998137
YH,wash,w,a,399.404102,768.348535,648.494541,1039.31087
YH,wax,w,ae,433.277016,809.962621,916.244617,1543.811979
YH,wax,w,ae,491.414431,874.115955,870.997784,1483.154644
YH,weak,w,i,259.967873,1023.320809,229.714752,2324.741418
YH,weak,w,i,268.706265,978.748512,273.471672,2270.558314
YH,weed,w,i,267.397422,1038.989572,277.41762,2225.85033
YH,weed,w,i,255.195718,1115.932905,255.31324,2439.14273
YH,well,w,e,396.692095,903.4734,726.384782,1508.133588
YH,well,w,e,359.600797,847.742509,479.476838,1349.607996
YH,wet,w,e,419.720585,761.658817,644.169092,1587.943095
YH,wet,w,e,471.747692,877.390214,675.237737,1654.028281
YH,who,none,u,,,292.150499,1018.675192
YH,who,none,u,,,289.160122,935.875265
YH,wok,w,a,407.564988,610.825185,737.891258,936.065113
YH,wok,w,a,446.59296,780.86017,702.383427,991.794533
YH,yacht,j,a,283.236163,2121.245034,769.27489,1164.595098
YH,yacht,j,a,265.295001,2098.213317,747.988663,1188.858818
YH,yak,j,ae,294.028751,2226.153345,955.651031,1710.47501
YH,yak,j,ae,286.732531,2213.571589,970.867728,1710.166824
YH,yap,j,ae,320.151978,2164.137449,915.639784,1632.658401
YH,yap,j,ae,283.841878,2240.292742,747.458666,1530.130472
YH,yard,j,a,259.712642,2084.333989,685.736547,1235.337618
YH,yard,j,a,297.824986,2101.20669,672.519567,1290.986474
YH,yeast,j,i,253.151671,2265.550565,272.566839,2287.229447
YH,yeast,j,i,274.158908,2242.755532,248.323652,2306.324956
YH,yell,j,e,281.100173,2258.67723,483.068725,1008.182587
YH,yell,j,e,278.290608,2208.389902,467.513942,1048.67217
YH,yet,j,e,283.902442,2245.301301,600.264771,1839.742163
YH,yet,j,e,256.694792,2190.652665,589.228503,1753.111524
YH,yield,j,i,251.380096,2311.621055,383.424991,1053.773077
YH,yield,j,i,268.512717,2217.566627,376.245784,1043.66055
JD,boo,none,u,,,244,973
JD,cool,none,u,,,342,650
JD,heap,none,i,,,272,2182
JD,heed,none,i,,,266,2135
JD,hoop,none,u,,,279,807
JD,key,none,i,,,239,2165
JD,see,none,i,,,244,2266
JD,wag,w,ae,266,592,642,1419
JD,wash,w,a,237,487,529,974
JD,wax,w,ae,317,568,730,1145
JD,weed,w,i,180,700,253,2239
JD,week,w,i,352,669,237,2174
JD,well,w,e,351,688,548,996
JD,wet,w,e,290,694,671,1362
JD,who,none,u,,,235,855
JD,wok,w,a,308,605,641,994
JD,yacht,j,a,364,1886,660,1083
JD,yak,j,ae,262,2118,725,1491
JD,yap,j,ae,235,2252,643,1234
JD,yard,j,a,269,2013,594,1002
JD,yeast,j,i,242,2300,253,2846
JD,yell,j,e,256,2034,535,1673
JD,yet,j,e,268,2169,595,1631
JD,yield,j,i,226,2229,216,1737
