subject,word,segment,F1,F2,vheight
GG,ewe,j,290.5883735,2418.578086,high
GG,heed,i,382.2850285,2945.660384,high
GG,wag,w,468.795732,1178.553205,low
GG,walk,w,377.3512965,2774.824052,low
GG,ward,w,437.5790325,840.473951,mid
GG,wash,w,296.0656925,1386.990412,low
GG,wax,w,443.4108895,877.9173735,low
GG,weak,w,431.7665925,2083.13951,high
GG,weed,w,377.9956605,2501.303049,high
GG,who,u,420.5669445,1484.415065,high
GG,wok,w,351.3295145,882.2943105,low
GG,woo,w,410.897818,1181.865289,high
GG,woo,u,437.4757885,1434.727269,high
GG,woozy,w,457.1336345,1942.50179,high
GG,woozy,u,461.15668,1770.499005,high
GG,yacht,j,290.9137785,2428.161655,low
GG,yak,j,352.1699355,2340.007706,low
GG,yap,j,356.2967465,2731.31118,low
GG,yeast,j,342.5032695,2824.350376,high
GG,yeast,i,395.8116905,2830.490015,high
GG,yield,j,323.090878,2676.401027,high
GG,yod,j,340.3986385,2525.468448,low
GG,York,j,257.598046,2668.180637,mid
GG,your,j,333.1195475,2633.426944,mid
GG,youth,j,251.481951,2690.895256,high
GG,youth,j,296.7409755,2714.947628,high
GM,ewe,j,260.709174,2369.937213,high
GM,heed,i,285.368256,2463.426512,high
GM,wag,w,228.29268,399.807264,low
GM,walk,w,413.76899,739.68436,low
GM,ward,w,339.632108,650.943215,mid
GM,wash,w,336.772796,596.108925,low
GM,wax,w,199.690356,494.013436,low
GM,weak,w,354.432081,638.432147,high
GM,weed,w,235.675882,608.812333,high
GM,who,u,353.303669,1341.96875,high
GM,wok,w,334.639162,547.406472,low
GM,woo,w,330.491216,759.046669,high
GM,woo,u,395.863678,876.970426,high
GM,woozy,w,311.609073,663.91745,high
GM,woozy,u,371.834493,1091.520293,high
GM,yacht,j,268.521428,2354.149703,low
GM,yak,j,264.363267,2427.442667,low
GM,yap,j,260.886371,2433.48733,low
GM,yeast,i,293.951152,2408.911714,high
GM,yeast,j,301.08788,2407.511065,high
GM,yield,j,272.964852,2376.275616,high
GM,yod,j,254.715773,2315.398364,low
GM,York,j,260.801008,2255.461174,mid
GM,your,j,252.148199,2329.283846,mid
GM,youth,j,262.151773,2226.887219,high
JK,heed,i,296.255,2242.48,high
JK,wag,w,262.88,564.39,low
JK,walk,w,330.66,992.34,low
JK,ward,w,230.27,822.02,mid
JK,wash,w,318.29,686.165,low
JK,wax,w,446.23,753.435,low
JK,weak,w,294.865,819.515,high
JK,weed,w,251.465,737.785,high
JK,who,u,307.665,913.705,high
JK,wok,w,301.12,675.505,low
JK,woo,w,281.97,682.505,high
JK,woo,u,330.92,959.505,high
JK,woozy,w,263.275,689.695,high
JK,woozy,u,332.095,1022.8,high
JK,yacht,j,223.29,2197.33,low
JK,yak,j,256.625,2211.72,low
JK,yap,j,249.895,2253.11,low
JK,yeast,j,267.985,2173.455,high
JK,yeast,i,289.235,2140.94,high
JK,yield,j,215.39,2256.19,high
JK,yod,j,237.68,2190.04,low
JK,york,j,223.795,2211.82,mid
JK,you,j,232.83,2108.285,high
JK,your,j,268.305,2149.55,mid
JK,youth,j,226.09,2189.12,high
MK,ewe,j,250,2017,high
MK,heed,i,321,2179,high
MK,wag,w,431,748,low
MK,walk,w,445,561,low
MK,ward,w,435,881,mid
MK,wash,w,421,657,low
MK,wax,w,468,726,low
MK,weak,w,478,765,high
MK,weed,w,415,747,high
MK,who,u,340,792,high
MK,wok,w,423,626,low
MK,woo,u,324,719,high
MK,woo,w,385,898,high
MK,woozy,u,331,766,high
MK,woozy,w,386,720,high
MK,yacht,j,269,2066,low
MK,yak,j,281,2046,low
MK,yap,j,281,2053,low
MK,yeast,j,269,2047,high
MK,yeast,i,319,2175,high
MK,yield,j,235,2129,high
MK,yod,j,270,2006,low
MK,York,j,270,1926,mid
MK,your,j,270,2034,mid
MK,youth,j,262,2014,high
PJ,heed,i,272,2766,high
PJ,wag,w,221,810,low
PJ,walk,w,379,466,low
PJ,ward,w,233,830,mid
PJ,wash,w,308,,low
PJ,wax,w,226,,low
PJ,weak,w,224,1101,high
PJ,weed,w,223,,high
PJ,who,u,297,1217,high
PJ,wok,w,257,,low
PJ,woo,w,245,875,high
PJ,woo,u,338,1134,high
PJ,woozy,w,209,,high
PJ,woozy,u,290,1266,high
PJ,yacht,j,228,2617,low
PJ,yak,j,223,2467,low
PJ,yap,j,225,2549,low
PJ,yeast,j,217,,high
PJ,yeast,i,244,2664,high
PJ,yield,j,228,2370,high
PJ,yod,j,225,2475,low
PJ,york,j,202,2513,mid
PJ,you,j,207,2521,high
PJ,your,j,221,2466,mid
PJ,youth,j,213,2559,high
