speaker,word,C1,V,C2,F2C1,F2V,F2C2,dur b-m,duration,rate,,,
BC,bab,b,a,b,928.125,942.1875,956.25,0.097043,0.207948,normal,,,
BC,bab,b,a,b,928.125,970.3125,1026.5625,0.108595,0.221812,normal,,,
BC,bab,b,a,b,1012.5,942.1875,970.3125,0.08549,0.19293,normal,,,
BC,bab,b,a,b,956.25,942.1875,998.4375,0.092421,0.188309,normal,,,
BC,bab,b,a,b,998.4375,970.3125,1012.5,0.088956,0.197552,normal,,,
BC,bab,b,a,b,942.1875,928.125,956.25,0.105129,0.207948,normal,,,
BC,bad,b,a,d,914.0625,942.1875,1265.625,0.10744,0.226433,normal,,,
BC,bad,b,a,d,928.125,1012.5,1293.75,0.108595,0.220657,normal,,,
BC,bad,b,a,d,998.4375,998.4375,1181.25,0.10744,0.216036,normal,,,
BC,bad,b,a,d,970.3125,1012.5,1265.625,0.102819,0.217191,normal,,,
BC,bad,b,a,d,970.3125,1012.5,1251.5625,0.098198,0.191775,normal,,,
BC,bad,b,a,d,1026.5625,1012.5,1265.625,0.103974,0.202172,normal,,,
BC,bag,b,a,g,956.25,942.1875,1125,0.10513,0.21257,normal,,,
BC,bag,b,a,g,928.125,928.125,1153.125,0.113636,0.221412,normal,,,
BC,bag,b,a,g,1012.5,942.1875,1167.1875,0.116682,0.218374,normal,,,
BC,bag,b,a,g,928.125,928.125,1195.3125,0.106285,0.221812,normal,,,
BC,bag,b,a,g,998.4375,928.125,1181.25,0.10744,0.220657,normal,,,
BC,bag,b,a,g,942.1875,928.125,1167.1875,0.101663,0.220656,normal,,,
BC,beb,b,e,b,1335.9375,1532.8125,1110.9375,0.069317,0.143254,normal,,,
BC,beb,b,e,b,1378.125,1448.4375,1153.125,0.067723,0.130854,normal,,,
BC,beb,b,e,b,1476.5625,1462.5,1209.375,0.079713,0.152495,normal,,,
BC,beb,b,e,b,1335.9375,1364.0625,1153.125,0.075093,0.150185,normal,,,
BC,beb,b,e,b,1279.6875,1448.4375,1181.25,0.063539,0.132856,normal,,,
BC,beb,b,e,b,1350,1462.5,1139.0625,0.069316,0.154806,normal,,,
BC,bed,b,e,d,1350,1532.8125,1589.0625,0.071627,0.150185,normal,,,
BC,bed,b,e,d,1448.4375,1476.5625,1504.6875,0.078054,0.150368,normal,,,
BC,bed,b,e,d,1378.125,1532.8125,1518.75,0.076248,0.146719,normal,,,
BC,bed,b,e,d,1406.25,1546.875,1532.8125,0.08549,0.160582,normal,,,
BC,bed,b,e,d,1350,1462.5,1462.5,0.069317,0.143254,normal,,,
BC,bed,b,e,d,1420.3125,1560.9375,1560.9375,0.073938,0.143254,normal,,,
BC,beg,b,e,g,1307.8125,1532.8125,1715.625,0.091267,0.185999,normal,,,
BC,beg,b,e,g,1350,1434.375,1687.5,0.072314,0.152663,normal,,,
BC,beg,b,e,g,1378.125,1462.5,1715.625,0.078559,0.166359,normal,,,
BC,beg,b,e,g,1448.4375,1546.875,1729.6875,0.080869,0.17329,normal,,,
BC,beg,b,e,g,1350,1575,1729.6875,0.084334,0.167514,normal,,,
BC,beg,b,e,g,1350,1532.8125,1673.4375,0.090111,0.188309,normal,,,
BC,bib,b,i,b,1603.125,2123.4375,1603.125,0.094731,0.168669,normal,,,
BC,bib,b,i,b,1828.125,2053.125,1490.625,0.11708,0.161846,normal,,,
BC,bib,b,i,b,1771.875,1968.75,1518.75,0.086646,0.165204,normal,,,
BC,bib,b,i,b,1701.5625,2081.25,1350,0.076248,0.155961,normal,,,
BC,bib,b,i,b,1687.5,2039.0625,1378.125,0.080869,0.164048,normal,,,
BC,bib,b,i,b,1603.125,2053.125,1251.5625,0.105129,0.189464,normal,,,
BC,bid,b,i,d,,,,,,normal,,,
BC,bid,b,i,d,1617.1875,2067.1875,2025,0.097566,0.181359,normal,,,
BC,bid,b,i,d,1785.9375,2010.9375,1898.4375,0.091266,0.176756,normal,,,
BC,bid,b,i,d,1743.75,1996.875,1926.5625,0.084334,0.166358,normal,,,
BC,bid,b,i,d,1687.5,2039.0625,1771.875,0.084334,0.165203,normal,,,
BC,bid,b,i,d,1701.5625,2010.9375,1954.6875,0.098198,0.187154,normal,,,
BC,big,b,i,g,1701.5625,1954.6875,2137.5,0.078558,0.167514,normal,,,
BC,big,b,i,g,1771.875,1968.75,2123.4375,0.084941,0.180211,normal,,,
