seg	segtype	class.labials	class.coronalsonorants	class.coronalobstruents	class.coronalobsstops	class.coronalobsfrics	class.dorsalobstruents	class.guttural	class.gutturalapproximants	class.gutturalglottal	labial	coronal	dorsal	guttural	nasal	sonorant	stop	fricative	place
b	P	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	lab
f	F	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	lab
m	M	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	lab
t	T	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	cor
d	T	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	cor
TT	T	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	cor
DD	T	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	cor
th	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
dh	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
s	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
z	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
SS	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
ZZ	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
sh	S	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	cor
l	N	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	cor
r	N	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	cor
n	N	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	cor
k	K	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	dors
g	K	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	dors
q	K	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	dors
XX	X	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	dors
RR	X	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	dors
HH	H	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	guttural
GG	H	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	guttural
h	H	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	guttural
?	H	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	guttural
w	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ignore
y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ignore
