C1	C2	O	C1prob	C2prob	E
b	b	0	0.05179506357516829	0.05964846671652954	16.522625280478685
f	b	0	0.04431563201196709	0.05964846671652954	14.1366866118175
m	b	0	0.0512341062079282	0.05964846671652954	16.343679880329095
t	b	6	0.01907255048616305	0.05964846671652954	6.084143605086013
d	b	10	0.03702318623784592	0.05964846671652954	11.810396409872848
TT	b	11	0.02617801047120419	0.05964846671652954	8.350785340314136
DD	b	10	0.015893792071802543	0.05964846671652954	5.070119670905012
th	b	4	0.010284218399401645	0.05964846671652954	3.2806656694091245
dh	b	7	0.013462976813762155	0.05964846671652954	4.294689603590127
s	b	16	0.043006731488406884	0.05964846671652954	13.719147344801796
z	b	11	0.028234854151084517	0.05964846671652954	9.00691847419596
SS	b	14	0.02580403889304413	0.05964846671652954	8.231488406881077
ZZ	b	1	0.004113687359760658	0.05964846671652954	1.3122662677636499
sh	b	11	0.037397157816005985	0.05964846671652954	11.929693343305908
k	b	13	0.032535527299925204	0.05964846671652954	10.37883320867614
g	b	12	0.036088257292445775	0.05964846671652954	11.512154076290201
q	b	18	0.04281974569932685	0.05964846671652954	13.659498878085264
XX	b	11	0.02973074046372476	0.05964846671652954	9.484106207928198
RR	b	9	0.02225130890052356	0.05964846671652954	7.098167539267015
HH	b	11	0.04094988780852655	0.05964846671652954	13.063014210919969
GG	b	17	0.043006731488406884	0.05964846671652954	13.719147344801796
h	b	14	0.036275243081525806	0.05964846671652954	11.571802543006731
ʔ	b	12	0.02243829468960359	0.05964846671652954	7.157816005983546
l	b	22	0.05048616305160808	0.05964846671652954	16.105086013462977
r	b	29	0.07479431563201197	0.05964846671652954	23.859386686611817
n	b	20	0.0605833956619297	0.05964846671652954	19.326103216155573
w	b	20	0.0712415856394914	0.05964846671652954	22.726065818997753
y	b	10	0.028982797307404638	0.05964846671652954	9.24551234106208
b	f	0	0.05179506357516829	0.04786836200448766	13.259536275243082
f	f	0	0.04431563201196709	0.04786836200448766	11.344801795063574
m	f	0	0.0512341062079282	0.04786836200448766	13.115931189229618
t	f	7	0.01907255048616305	0.04786836200448766	4.882572924457741
d	f	11	0.03702318623784592	0.04786836200448766	9.477935676888556
TT	f	14	0.02617801047120419	0.04786836200448766	6.701570680628272
DD	f	3	0.015893792071802543	0.04786836200448766	4.068810770381451
th	f	1	0.010284218399401645	0.04786836200448766	2.632759910246821
dh	f	4	0.013462976813762155	0.04786836200448766	3.4465220643231116
s	f	14	0.043006731488406884	0.04786836200448766	11.00972326103216
z	f	7	0.028234854151084517	0.04786836200448766	7.228122662677636
SS	f	14	0.02580403889304413	0.04786836200448766	6.605833956619297
ZZ	f	4	0.004113687359760658	0.04786836200448766	1.0531039640987285
sh	f	11	0.037397157816005985	0.04786836200448766	9.573672400897532
k	f	11	0.032535527299925204	0.04786836200448766	8.329094988780852
g	f	4	0.036088257292445775	0.04786836200448766	9.238593866866118
q	f	10	0.04281974569932685	0.04786836200448766	10.961854899027674
XX	f	7	0.02973074046372476	0.04786836200448766	7.611069558713537
RR	f	5	0.02225130890052356	0.04786836200448766	5.696335078534031
HH	f	15	0.04094988780852655	0.04786836200448766	10.483171278982796
GG	f	8	0.043006731488406884	0.04786836200448766	11.00972326103216
h	f	6	0.036275243081525806	0.04786836200448766	9.286462228870606
ʔ	f	3	0.02243829468960359	0.04786836200448766	5.744203440538519
l	f	19	0.05048616305160808	0.04786836200448766	12.924457741211667
r	f	26	0.07479431563201197	0.04786836200448766	19.147344801795064
n	f	24	0.0605833956619297	0.04786836200448766	15.509349289454002
w	f	14	0.0712415856394914	0.04786836200448766	18.2378459237098
y	f	14	0.028982797307404638	0.04786836200448766	7.419596110695586
b	m	0	0.05179506357516829	0.06357516828721017	17.61032161555722
f	m	0	0.04431563201196709	0.06357516828721017	15.06731488406881
m	m	0	0.0512341062079282	0.06357516828721017	17.419596110695586
t	m	8	0.01907255048616305	0.06357516828721017	6.484667165295438
d	m	21	0.03702318623784592	0.06357516828721017	12.587883320867613
TT	m	13	0.02617801047120419	0.06357516828721017	8.900523560209423
DD	m	7	0.015893792071802543	0.06357516828721017	5.403889304412864
th	m	6	0.010284218399401645	0.06357516828721017	3.4966342557965593
dh	m	3	0.013462976813762155	0.06357516828721017	4.577412116679133
