C1/C2	b	f	m	t	d	TT	DD	th	dh	s	z	SS	ZZ	sh	k	g	q	XX	RR	HH	GG	h	?	l	r	n	w	y
b	0	0	0	10	13	19	4	7	6	15	6	4	0	8	11	8	13	7	7	11	12	14	9	24	31	9	19	10
f	0	0	0	16	10	6	8	3	1	11	5	5	3	8	5	5	20	5	2	10	11	5	5	19	31	11	20	12
m	0	0	0	8	13	9	6	3	3	18	10	7	1	13	6	9	10	6	4	14	19	6	6	27	30	15	12	19
t	6	7	8	0	3	0	0	0	0	0	0	0	0	2	4	3	5	1	2	4	5	1	2	11	17	6	7	8
d	10	11	21	0	1	0	0	2	0	8	0	0	0	4	0	6	5	4	5	10	13	9	4	16	22	14	21	12
TT	11	14	13	0	1	0	0	0	0	5	0	0	0	5	0	0	4	1	1	6	7	4	3	15	19	8	16	7
DD	10	3	7	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	4	6	5	2	2	5	12	4	8	9
th	4	1	6	1	0	0	0	0	0	0	0	0	0	0	1	0	5	1	1	0	0	0	4	6	13	1	8	3
dh	7	4	3	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	0	0	5	2	3	7	17	2	8	7
s	16	14	21	2	13	8	0	0	0	0	0	0	0	0	7	9	9	12	1	10	9	7	6	21	22	9	21	13
z	11	7	14	0	0	0	0	0	0	0	0	0	0	0	4	6	10	2	5	8	13	6	5	11	15	9	11	14
SS	14	14	10	1	14	0	0	0	0	0	0	0	0	0	0	0	5	1	3	6	6	4	1	17	13	5	14	10
ZZ	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	3	0	1	3
sh	11	11	15	4	9	9	0	0	2	0	1	0	2	0	8	7	9	5	4	10	11	5	4	6	23	9	17	18
k	13	11	13	8	10	0	1	4	1	15	5	1	1	6	0	0	0	0	0	2	5	5	5	14	22	11	10	11
g	12	4	15	0	10	0	0	2	6	10	12	0	0	3	1	0	0	0	0	7	12	8	6	21	24	17	19	4
q	18	10	19	5	12	12	5	0	6	6	2	14	2	9	0	0	0	0	0	8	13	4	2	17	21	11	15	18
XX	11	7	16	4	6	10	7	1	5	5	9	8	0	5	0	1	0	0	0	0	1	0	0	13	22	8	11	9
RR	9	5	14	1	6	6	5	3	1	1	5	5	0	5	0	1	1	0	0	0	0	0	0	12	15	4	11	9
HH	11	15	19	5	13	4	5	2	5	8	4	9	5	10	5	8	6	0	0	0	0	0	0	17	22	14	22	10
GG	17	8	12	10	11	12	5	5	5	10	9	8	4	7	6	10	12	0	0	0	0	2	0	15	21	12	15	14
h	14	6	18	4	19	4	4	1	3	1	9	2	1	4	4	12	5	0	0	0	0	0	0	16	23	7	17	20
?	12	3	9	2	5	2	0	3	2	10	6	2	0	3	4	2	1	3	0	2	0	2	0	10	14	7	8	8
l	22	19	19	5	9	13	0	3	2	15	4	5	2	2	11	13	19	4	6	17	17	15	5	0	0	1	28	14
r	29	26	26	9	21	11	12	7	1	21	13	10	1	16	16	21	25	9	7	13	26	11	14	0	0	9	23	23
n	20	24	11	10	12	10	7	4	2	15	10	9	3	14	17	13	24	10	6	12	16	15	8	0	2	0	28	22
w	20	14	17	8	17	11	9	8	4	19	12	10	2	12	16	15	26	10	8	15	16	14	8	28	30	11	0	21
y	10	14	10	4	12	5	5	3	0	7	1	1	2	5	2	2	7	2	1	8	6	1	7	14	13	12	1	0
