C1	b	f	m	t	d	TT	DD	th	dh	s	z	SS	ZZ	sh	k	g	q	XX	RR	HH	GG	h	?	l	r	n	w	y
b	1	0	7	5	4	2	4	2	0	3	3	2	1	2	3	4	7	2	3	4	7	2	7	13	16	4	3	6
f	0	0	10	4	6	3	3	0	0	4	2	3	0	5	3	2	6	5	1	9	6	3	5	8	11	3	4	7
m	0	0	0	2	7	7	4	2	0	5	1	3	0	0	4	4	8	3	2	9	6	1	3	9	11	11	7	6
t	3	3	2	0	0	0	0	0	0	3	0	0	0	0	1	1	2	0	0	2	3	4	0	3	2	1	2	2
d	3	3	5	0	2	0	1	1	0	8	0	1	0	3	6	4	3	1	3	1	5	1	3	4	10	9	7	7
TT	5	3	2	0	2	0	0	1	0	4	1	0	0	4	0	0	6	1	0	6	4	0	2	3	5	5	5	5
DD	1	2	3	0	2	3	0	1	0	1	0	0	0	0	2	2	1	1	0	1	5	0	1	1	6	3	3	4
th	5	1	2	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	4	2	1	3
dh	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	1	3	4	1	2	4
s	7	9	10	4	7	8	0	0	0	4	0	0	0	0	5	4	7	4	2	8	9	2	3	12	15	5	9	10
z	3	5	5	3	6	5	0	0	0	0	0	0	0	0	0	3	8	1	2	1	2	0	1	8	12	3	4	4
SS	7	6	3	3	6	0	0	0	0	0	0	0	0	0	0	0	3	2	3	7	8	0	2	4	7	3	5	7
ZZ	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0
sh	9	6	5	3	3	7	0	2	1	3	0	1	0	2	3	1	7	4	0	5	7	6	2	9	15	6	8	7
k	7	7	8	5	6	1	0	1	0	7	2	0	0	5	0	0	0	2	0	7	3	2	1	7	7	6	4	6
g	7	8	7	0	9	1	2	0	0	5	3	0	1	5	0	0	0	1	0	5	6	1	4	9	12	1	5	6
q	6	9	11	2	6	7	4	0	0	8	2	5	2	4	0	0	2	0	0	6	10	1	3	10	14	5	8	9
XX	7	7	8	3	3	4	2	2	0	5	2	3	0	2	0	3	5	1	0	0	8	0	5	10	13	6	5	6
RR	5	2	5	0	3	4	2	2	0	3	2	2	2	1	0	1	4	0	0	0	0	0	0	4	9	4	10	8
HH	10	7	11	0	9	3	2	4	2	6	5	3	1	3	7	4	8	0	0	0	0	0	2	7	15	9	12	9
GG	11	10	10	1	9	1	2	2	1	4	3	3	0	4	3	3	9	0	0	0	0	2	1	14	16	6	14	12
h	6	5	10	3	2	2	1	0	0	5	1	0	0	5	2	5	1	0	0	0	7	0	5	8	10	4	5	3
?	8	4	6	0	7	1	2	2	1	4	1	0	0	0	1	1	6	1	0	0	0	3	0	9	10	6	3	8
l	5	5	11	1	3	5	0	3	1	6	4	3	3	1	3	4	8	2	2	4	7	0	2	0	0	10	4	8
r	14	8	16	2	10	3	6	4	0	8	3	4	0	4	2	3	9	2	1	7	11	1	6	11	0	8	12	10
n	14	12	12	6	8	4	4	2	4	11	8	4	1	10	4	7	9	3	1	12	11	6	7	21	21	3	14	10
w	10	8	10	1	14	3	2	1	1	5	5	1	2	3	2	2	6	2	1	3	10	3	6	9	14	5	0	17
y	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0
