	b	f	m	t	d	TT	DD	th	dh	s	z	SS	ZZ	sh	k	g	q	XX	RR	HH	GG	h	?	l	r	n	w	y
b	1	0.375	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0
f	0.375	1	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
m	0.5	0.222222222	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0
t	0	0	0	1	0.421052632	0.264705882	0.166666667	0.206896552	0.137931034	0.32	0.185185185	0.12244898	0.083333333	0.12	0	0	0	0	0	0	0	0	0	0.1	0.1	0.176470588	0	0
d	0	0	0	0.421052632	1	0.157894737	0.303030303	0.125	0.214285714	0.172413793	0.32	0.076923077	0.127659574	0.074074074	0	0	0	0	0	0	0	0	0	0.15	0.15	0.3125	0	0
TT	0	0	0	0.264705882	0.157894737	1	0.404761905	0.238095238	0.136363636	0.136363636	0.088888889	0.411764706	0.210526316	0.125	0.212121212	0.105263158	0.361111111	0.11627907	0.065217391	0	0	0	0	0.054054054	0.054054054	0.088235294	0	0.026315789
DD	0	0	0	0.166666667	0.303030303	0.404761905	1	0.133333333	0.225	0.088888889	0.142857143	0.203389831	0.416666667	0.073170732	0.114285714	0.242424242	0.170731707	0.068181818	0.142857143	0	0	0	0	0.085714286	0.085714286	0.161290323	0	0.055555556
th	0	0	0	0.206896552	0.125	0.238095238	0.133333333	1	0.448275862	0.4	0.242424242	0.454545455	0.244897959	0.37037037	0	0	0	0	0	0	0	0	0	0.148148148	0.148148148	0.074074074	0	0
dh	0	0	0	0.137931034	0.214285714	0.136363636	0.225	0.448275862	1	0.25	0.444444444	0.24	0.43902439	0.206896552	0	0	0	0	0	0	0	0	0	0.260869565	0.260869565	0.125	0	0
s	0	0	0	0.32	0.172413793	0.136363636	0.088888889	0.4	0.25	1	0.444444444	0.347826087	0.204081633	0.296296296	0	0	0	0	0	0	0	0	0	0.16	0.16	0.08	0	0
z	0	0	0	0.185185185	0.32	0.088888889	0.142857143	0.242424242	0.444444444	0.444444444	1	0.196078431	0.348837209	0.172413793	0	0	0	0	0	0	0	0	0	0.272727273	0.272727273	0.130434783	0	0
SS	0	0	0	0.12244898	0.076923077	0.411764706	0.203389831	0.454545455	0.24	0.347826087	0.196078431	1	0.421052632	0.325581395	0.106382979	0.058823529	0.173076923	0.153846154	0.089285714	0	0	0	0	0.085106383	0.085106383	0.042553191	0	0.040816327
