participant	item	size	place	high	back	round	choice
u54	ʤak	CVC	DOR	0	1	0	0
u54	zik	CVC	DOR	1	0	0	1
u54	zyp	CVC	LAB	1	0	1	0
u54	hit	CVC	COR	1	0	0	0
u54	køʧ	CVC	PAL	0	0	1	0
u54	jiʧ	CVC	PAL	1	0	0	0
u54	pɯk	CVC	DOR	1	1	0	0
u54	søt	CVC	COR	0	0	1	0
u54	ʤyt	CVC	COR	1	0	1	0
u54	nut	CVC	COR	1	1	1	0
u54	mok	CVC	DOR	0	1	1	0
u54	mɯt	CVC	COR	1	1	0	0
u54	nuk	CVC	DOR	1	1	1	0
u54	nɯʧ	CVC	PAL	1	1	0	0
u54	tup	CVC	LAB	1	1	1	0
u54	dap	CVC	LAB	0	1	0	0
u54	vek	CVC	DOR	0	0	0	0
u54	jot	CVC	COR	0	1	1	0
u54	poʧ	CVC	PAL	0	1	1	0
u54	pet	CVC	COR	0	0	0	0
u54	gep	CVC	LAB	0	0	0	0
u54	høk	CVC	DOR	0	0	1	0
u54	fat	CVC	COR	0	1	0	0
u54	ʃyk	CVC	DOR	1	0	1	0
u54	nyrt	CVCC	COR	1	0	1	0
u54	zelt	CVCC	COR	0	0	0	0
u54	kyrp	CVCC	LAB	1	0	1	0
u54	munʧ	CVCC	PAL	1	1	1	1
u54	ʤolt	CVCC	COR	0	1	1	0
u54	ʃɯrt	CVCC	COR	1	1	0	0
u54	ʧint	CVCC	COR	1	0	0	0
u54	panʧ	CVCC	PAL	0	1	0	1
u54	hant	CVCC	COR	0	1	0	0
u54	dɯrp	CVCC	LAB	1	1	0	0
u54	gønt	CVCC	COR	0	0	1	0
u54	solp	CVCC	LAB	0	1	1	0
u54	bunt	CVCC	COR	1	1	1	0
u54	telp	CVCC	LAB	0	0	0	0
u54	jønʧ	CVCC	PAL	0	0	1	1
u54	ginʧ	CVCC	PAL	1	0	0	1
u54	bolk	CVCC	DOR	0	1	1	0
u54	niket	CVCVC	COR	0	0	0	0
u54	pyrk	CVCC	DOR	1	0	1	0
u54	jaat	CVCVC	COR	0	1	0	0
u54	jɯjap	CVCVC	LAB	0	1	0	0
u54	ʤisip	CVCVC	LAB	1	0	0	0
u54	gevit	CVCVC	COR	1	0	0	1
u54	bølyʧ	CVCVC	PAL	1	0	1	0
u54	vank	CVCC	DOR	0	1	0	1
u54	sønk	CVCC	DOR	0	0	1	0
u54	kunup	CVCVC	LAB	1	1	1	1
u54	tyryʧ	CVCVC	PAL	1	0	1	0
u54	pɯsɯt	CVCVC	COR	1	1	0	0
u54	heveʧ	CVCVC	PAL	0	0	0	0
u54	sølyt	CVCVC	COR	1	0	1	0
u54	gojup	CVCVC	LAB	1	1	1	1
u54	nɯrk	CVCC	DOR	1	1	0	0
u54	dunk	CVCC	DOR	1	1	1	1
u54	helk	CVCC	DOR	0	0	0	0
