place	type	shape	syllables	CVC	size	citation	possessive	back	high	round
COR	voiceless	CCVC	mono	CVC	CVC	flyt	flytym	0	1	1
COR	voiced	CCVCC	mono	big	CVCC	stand	standɯm	1	0	0
COR	voiceless	CCVCC	mono	big	CVCC	trøst	trøstym	0	0	1
COR	voiceless	CCVCCCVC	poly	big	CVCVC	trenʧkot	trenʧkotum	1	0	1
COR	voiceless	CCVCCVC	poly	big	CVCVC	blʲanket	blʲanketim	0	0	0
COR	voiceless	CCVCCVC	poly	big	CVCVC	dretnot	dretnotum	1	0	1
COR	voiceless	CCVCVC	poly	big	CVCVC	briket	briketim	0	0	0
COR	voiceless	CCVCVC	poly	big	CVCVC	kroket	kroketim	0	0	0
COR	voiceless	CCVVCCVC	poly	big	CVCVC	trioksit	trioksitim	0	1	0
COR	alternating	CVC	mono	CVC	CVC	tat	tadɯm	1	0	0
COR	alternating	CVC	mono	CVC	CVC	ret	reddim	0	0	0
COR	vacillator	CVC	mono	CVC	CVC	ʤet	ʤetim ʤeddim	0	0	0
COR	voiced	CVC	mono	CVC	CVC	had	haddim	1	0	0
COR	voiced	CVC	mono	CVC	CVC	tad	tadɯm	1	0	0
COR	voiced	CVC	mono	CVC	CVC	jad	ja:dɯm	1	0	0
COR	voiced	CVC	mono	CVC	CVC	red	reddim	0	0	0
COR	voiced	CVC	mono	CVC	CVC	sed	sedim	0	0	0
COR	voiced	CVC	mono	CVC	CVC	med	medim	0	0	0
COR	voiced	CVC	mono	CVC	CVC	kod	kodum	1	0	1
COR	voiceless	CVC	mono	CVC	CVC	hat	hatɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	kat	katɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	mat	matɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	sat	satɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	vat	vatɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	jat	jatɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	zat	zatɯm	1	0	0
COR	voiceless	CVC	mono	CVC	CVC	bet	betim	0	0	0
COR	voiceless	CVC	mono	CVC	CVC	ʒet	ʒetim	0	0	0
COR	voiceless	CVC	mono	CVC	CVC	ket	ketim	0	0	0
COR	voiceless	CVC	mono	CVC	CVC	net	netim	0	0	0
COR	voiceless	CVC	mono	CVC	CVC	set	setim	0	0	0
COR	voiceless	CVC	mono	CVC	CVC	bit	bitim	0	1	0
COR	voiceless	CVC	mono	CVC	CVC	ʧit	ʧitim	0	1	0
COR	voiceless	CVC	mono	CVC	CVC	fit	fitim	0	1	0
COR	voiceless	CVC	mono	CVC	CVC	sit	sitim	0	1	0
COR	voiceless	CVC	mono	CVC	CVC	kɯt	kɯtɯm	1	1	0
COR	voiceless	CVC	mono	CVC	CVC	zɯt	zɯtɯm	1	1	0
COR	voiceless	CVC	mono	CVC	CVC	bot	botum	1	0	1
COR	voiceless	CVC	mono	CVC	CVC	kot	kotum	1	0	1
COR	voiceless	CVC	mono	CVC	CVC	not	notum	1	0	1
COR	voiceless	CVC	mono	CVC	CVC	pot	potum	1	0	1
COR	voiceless	CVC	mono	CVC	CVC	rot	rotum	1	0	1
COR	voiceless	CVC	mono	CVC	CVC	gøt	gøtym	0	0	1
COR	voiceless	CVC	mono	CVC	CVC	høt	høtym	0	0	1
COR	voiceless	CVC	mono	CVC	CVC	but	butum	1	1	1
COR	voiceless	CVC	mono	CVC	CVC	dut	dutum	1	1	1
COR	voiceless	CVC	mono	CVC	CVC	gut	gutum	1	1	1
COR	voiceless	CVC	mono	CVC	CVC	lʲut	lʲutum	1	1	1
COR	voiceless	CVC	mono	CVC	CVC	put	putum	1	1	1
COR	voiceless	CVC	mono	CVC	CVC	ʃut	ʃutum	1	1	1
COR	voiceless	CVC	mono	CVC	CVC	ʒyt	ʒytym	0	1	1
COR	voiceless	CVC	mono	CVC	CVC	ʃyt	ʃytym	0	1	1
COR	voiceless	CVC	mono	CVC	CVC	syt	sytym	0	1	1
COR	voiced	CVCC	mono	big	CVCC	nezd	nezdim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	bejt	bejtim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	zejt	zejtim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	mevt	mevtim	0	0	0
COR	alternating	CVCC	mono	big	CVCC	ryʃt	ryʃdym	0	1	1
COR	voiceless	CVCC	mono	big	CVCC	hiʃt	hiʃtim	0	1	0
COR	voiceless	CVCC	mono	big	CVCC	kɯʃt	kɯʃtɯm	1	1	0
COR	voiceless	CVCC	mono	big	CVCC	hoʃt	hoʃtum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	puʃt	puʃtum	1	1	1
COR	voiceless	CVCC	mono	big	CVCC	kast	kastɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	rast	rastɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	ʒest	ʒestim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	mest	mestim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	rest	restim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	test	testim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	kist	kistim	0	1	0
COR	voiceless	CVCC	mono	big	CVCC	pist	pistim	0	1	0
COR	voiceless	CVCC	mono	big	CVCC	dost	dostum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	post	postum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	tost	tostum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	høst	høstym	0	0	1
COR	voiceless	CVCC	mono	big	CVCC	byst	bystym	0	1	1
COR	voiceless	VCC	mono	big	CVCC	yst	ystym	0	1	1
COR	alternating	CVCC	mono	big	CVCC	dert	derdim	0	0	0
COR	alternating	CVCC	mono	big	CVCC	fert	ferdim	0	0	0
COR	alternating	CVCC	mono	big	CVCC	dørt	dørdym	0	0	1
COR	alternating	CVCC	mono	big	CVCC	kurt	kurdum	1	1	1
COR	alternating	CVCC	mono	big	CVCC	jurt	jurdum	1	1	1
COR	alternating	CVCC	mono	big	CVCC	kyrt	kyrdym	0	1	1
COR	vacillator	CVCC	mono	big	CVCC	mert	mertim merdim	0	0	0
COR	voiced	CVCC	mono	big	CVCC	tard	tardɯm	1	0	0
