No.	Test item	Predicted Classification	Probability	Class sim	Total sim	Nearest neighbors
1	banɯk	alternating	0.77	5.22501	6.79957	
1	banɯk	voiceless	0.23	1.57455	6.79957	bank (1, 0.7000000000), baɯt (1, 1.1500000000), kanɯt (1, 1.1500000000), anɯt (1, 1.1500000000), janɯt (1, 1.2280000000), ʤaʤɯk (1, 1.2490000000), tank (1, 1.4430000000), bouk (1, 1.5330000000), barut (1, 1.5600000000), bask (1, 1.5950000000)
2	bolk	voiceless	0.56	3.55175	6.37982	bok (1, 0.7000000000), folk (1, 0.7430000000), bouk (1, 0.8180000000), volt (1, 0.9500000000), ʤɯlk (1, 0.9900000000), bot (1, 1.1500000000), bank (1, 1.1500000000), mylk (1, 1.1510000000), kalk (1, 1.1580000000), bask (1, 1.1910000000)
2	bolk	alternating	0.44	2.82808	6.37982	
3	bølyʧ	alternating	0.71	1.98523	2.81525	
3	bølyʧ	voiceless	0.29	0.83002	2.81525	byryt (1, 1.2450000000), briʧ (1, 1.3850000000), bulut (1, 1.4890000000), bilet (1, 1.6360000000), fylyt (1, 1.6940000000), gylynʧ (1, 1.7020000000), haliʧ (1, 1.7390000000), hørgyʧ (1, 1.7820000000), barut (1, 1.8050000000), berat (1, 1.8290000000)
4	bunt	voiceless	0.69	3.45545	4.98410	punt (1, 0.5670000000), but (1, 0.7000000000), kunt (1, 0.7000000000), buut (1, 0.9120000000), bank (1, 1.0100000000), bot (1, 1.0750000000), kont (1, 1.0750000000), punʧ (1, 1.1270000000), dut (1, 1.2000000000), bit (1, 1.2380000000)
4	bunt	alternating	0.31	1.52865	4.98410	
5	bynyt	voiceless	0.52	1.48620	2.88115	byryt (1, 0.7350000000), fylyt (1, 1.4350000000), bulut (1, 1.4740000000), buut (1, 1.4820000000), denet (1, 1.5760000000), byst (1, 1.5950000000), bilet (1, 1.6210000000), konut (1, 1.6290000000), bidat (1, 1.6380000000), punt (1, 1.6580000000)
5	bynyt	alternating	0.48	1.39496	2.88115	
6	dap	voiceless	0.62	5.55315	8.90632	bap (1, 0.5000000000), rap (1, 0.7070000000), ʧap (1, 0.7570000000), sap (1, 0.7620000000), hap (1, 0.8000000000), ʃap (1, 0.8410000000), dek (1, 0.8790000000), dok (1, 0.8790000000), dik (1, 0.9810000000), tak (1, 0.9830000000)
6	dap	alternating	0.38	3.35317	8.90632	
