SNR,position,stimulus,p,t,k,s,h,f,b,d,g,z,v,m,n,r,l,w,j,Null,Other
-14,onset,p,88,11,11,0,6,2,4,5,0,NA,NA,0,0,0,0,1,0,3,1
-14,onset,t,49,60,16,0,1,1,0,0,0,NA,NA,1,0,0,0,0,0,1,3
-14,onset,k,22,13,86,0,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,6
-14,onset,s,0,0,0,122,0,2,0,0,0,NA,NA,0,0,0,0,0,0,2,6
-14,onset,h,13,7,0,0,61,37,1,0,0,NA,NA,1,0,1,0,0,0,8,3
-14,onset,b,0,0,0,0,0,1,99,6,1,NA,NA,0,1,3,6,1,2,5,7
-14,onset,d,0,1,0,0,0,1,19,80,21,NA,NA,0,0,0,0,0,2,1,7
-14,onset,m,2,1,0,0,0,1,2,0,0,NA,NA,53,17,2,31,2,11,5,5
-14,onset,r,0,0,0,0,0,0,0,1,0,NA,NA,5,6,30,51,22,11,2,4
-14,onset,l,1,0,0,0,0,0,1,0,0,NA,NA,6,9,7,86,12,8,2,0
-11,onset,p,74,12,4,0,9,0,3,0,0,NA,NA,1,0,0,0,0,0,1,4
-11,onset,t,15,79,11,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,0,2
-11,onset,k,14,10,67,1,2,0,0,0,0,NA,NA,1,0,0,1,1,0,5,6
-11,onset,s,0,0,1,93,1,1,0,0,0,NA,NA,0,0,0,0,0,0,2,10
-11,onset,h,7,2,2,1,79,7,0,0,0,NA,NA,1,1,0,0,1,0,4,3
-11,onset,b,0,0,1,0,2,1,77,4,1,NA,NA,3,0,3,4,3,0,6,3
-11,onset,d,0,1,0,0,0,1,10,66,20,NA,NA,1,0,0,1,1,1,3,3
-11,onset,m,0,0,1,0,2,0,2,0,0,NA,NA,45,13,3,27,3,6,3,3
-11,onset,r,1,0,0,0,0,0,1,0,0,NA,NA,10,1,17,46,22,6,1,3
-11,onset,l,0,0,1,0,0,0,2,0,0,NA,NA,6,2,4,75,10,2,2,4
-8,onset,p,95,3,3,0,3,0,1,0,0,NA,NA,0,0,0,0,0,0,3,0
-8,onset,t,12,87,4,0,1,0,0,1,0,NA,NA,0,0,0,0,0,0,3,0
-8,onset,k,9,6,84,0,1,0,0,0,0,NA,NA,0,0,0,0,0,0,4,4
-8,onset,s,0,0,0,104,0,0,0,0,0,NA,NA,0,0,0,0,0,0,3,1
-8,onset,h,6,0,2,0,93,3,1,0,0,NA,NA,0,0,0,0,0,0,3,0
-8,onset,b,1,0,0,0,0,0,90,0,0,NA,NA,2,1,3,1,0,2,4,4
-8,onset,d,0,1,0,0,0,0,8,83,7,NA,NA,0,1,1,0,0,1,3,3
-8,onset,m,0,0,0,0,0,1,0,0,0,NA,NA,65,5,3,14,1,6,7,6
-8,onset,r,0,1,0,0,0,0,1,0,0,NA,NA,1,2,41,34,17,1,8,2
-8,onset,l,0,0,0,0,0,0,0,0,0,NA,NA,8,1,0,83,10,1,2,3
-5,onset,p,87,4,1,0,0,1,1,0,0,NA,NA,0,0,0,0,0,0,1,1
-5,onset,t,4,91,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0
