Subject	Pair	Vowel	V	Length	Trial	Response	PrelimTotalF	SPETotalF	PrelimFrisch	SPEFrisch	LuceD
AM25Y	"cab,rash"	ae	a	long	45	1	4	5	0.152	0.277	5.583100445
AR82M	"cab,rash"	ae	a	long	28	2	4	5	0.152	0.277	5.583100445
AY9B	"cab,rash"	ae	a	long	58	1	4	5	0.152	0.277	5.583100445
BA89W	"cab,rash"	ae	a	long	32	2	4	5	0.152	0.277	5.583100445
BS90M	"cab,rash"	ae	a	long	24	1	4	5	0.152	0.277	5.583100445
BU78I	"cab,rash"	ae	a	long	55	2	4	5	0.152	0.277	5.583100445
BW95G	"cab,rash"	ae	a	long	91	2	4	5	0.152	0.277	5.583100445
CK44O	"cab,rash"	ae	a	long	59	1	4	5	0.152	0.277	5.583100445
CM34Z	"cab,rash"	ae	a	long	28	1	4	5	0.152	0.277	5.583100445
DF61Q	"cab,rash"	ae	a	long	7	2	4	5	0.152	0.277	5.583100445
DR17G	"cab,rash"	ae	a	long	45	6	4	5	0.152	0.277	5.583100445
EK1N	"cab,rash"	ae	a	long	94	4	4	5	0.152	0.277	5.583100445
ES29S	"cab,rash"	ae	a	long	49	1	4	5	0.152	0.277	5.583100445
FJ83B	"cab,rash"	ae	a	long	50	4	4	5	0.152	0.277	5.583100445
FU75W	"cab,rash"	ae	a	long	73	2	4	5	0.152	0.277	5.583100445
FV16X	"cab,rash"	ae	a	long	76	1	4	5	0.152	0.277	5.583100445
IF59C	"cab,rash"	ae	a	long	59	1	4	5	0.152	0.277	5.583100445
JD94A	"cab,rash"	ae	a	long	13	4	4	5	0.152	0.277	5.583100445
JE33O	"cab,rash"	ae	a	long	17	5	4	5	0.152	0.277	5.583100445
JV42B	"cab,rash"	ae	a	long	38	3	4	5	0.152	0.277	5.583100445
JY36H	"cab,rash"	ae	a	long	39	1	4	5	0.152	0.277	5.583100445
KB4F	"cab,rash"	ae	a	long	63	3	4	5	0.152	0.277	5.583100445
KI71L	"cab,rash"	ae	a	long	40	3	4	5	0.152	0.277	5.583100445
KK92R	"cab,rash"	ae	a	long	53	5	4	5	0.152	0.277	5.583100445
KQ37E	"cab,rash"	ae	a	long	61	1	4	5	0.152	0.277	5.583100445
KQ52J	"cab,rash"	ae	a	long	13	1	4	5	0.152	0.277	5.583100445
KR28H	"cab,rash"	ae	a	long	91	6	4	5	0.152	0.277	5.583100445
KS15D	"cab,rash"	ae	a	long	7	1	4	5	0.152	0.277	5.583100445
LC70W	"cab,rash"	ae	a	long	85	2	4	5	0.152	0.277	5.583100445
LQ40Z	"cab,rash"	ae	a	long	88	3	4	5	0.152	0.277	5.583100445
LT30W	"cab,rash"	ae	a	long	47	1	4	5	0.152	0.277	5.583100445
LY2O	"cab,rash"	ae	a	long	33	2	4	5	0.152	0.277	5.583100445
LY53Q	"cab,rash"	ae	a	long	33	3	4	5	0.152	0.277	5.583100445
LZ43Z	"cab,rash"	ae	a	long	69	1	4	5	0.152	0.277	5.583100445
MC41U	"cab,rash"	ae	a	long	19	3	4	5	0.152	0.277	5.583100445
MO73Z	"cab,rash"	ae	a	long	93	2	4	5	0.152	0.277	5.583100445
NX13O	"cab,rash"	ae	a	long	49	1	4	5	0.152	0.277	5.583100445
NZ20B	"cab,rash"	ae	a	long	31	4	4	5	0.152	0.277	5.583100445
OG60T	"cab,rash"	ae	a	long	42	1	4	5	0.152	0.277	5.583100445
ON3K	"cab,rash"	ae	a	long	60	2	4	5	0.152	0.277	5.583100445
ON74R	"cab,rash"	ae	a	long	85	4	4	5	0.152	0.277	5.583100445
OQ69Y	"cab,rash"	ae	a	long	91	2	4	5	0.152	0.277	5.583100445
OR11R	"cab,rash"	ae	a	long	68	2	4	5	0.152	0.277	5.583100445
OS26T	"cab,rash"	ae	a	long	10	1	4	5	0.152	0.277	5.583100445
PE14D	"cab,rash"	ae	a	long	27	4	4	5	0.152	0.277	5.583100445
PQ27D	"cab,rash"	ae	a	long	78	2	4	5	0.152	0.277	5.583100445
PW18G	"cab,rash"	ae	a	long	26	1	4	5	0.152	0.277	5.583100445
PX84R	"cab,rash"	ae	a	long	94	2	4	5	0.152	0.277	5.583100445
QR21P	"cab,rash"	ae	a	long	7	6	4	5	0.152	0.277	5.583100445
QW31L	"cab,rash"	ae	a	long	51	1	4	5	0.152	0.277	5.583100445
RB39H	"cab,rash"	ae	a	long	85	1	4	5	0.152	0.277	5.583100445
RL68G	"cab,rash"	ae	a	long	72	1	4	5	0.152	0.277	5.583100445
SG77E	"cab,rash"	ae	a	long	13	1	4	5	0.152	0.277	5.583100445
SK19G	"cab,rash"	ae	a	long	44	2	4	5	0.152	0.277	5.583100445
SK66K	"cab,rash"	ae	a	long	67	1	4	5	0.152	0.277	5.583100445
SQ87Z	"cab,rash"	ae	a	long	20	1	4	5	0.152	0.277	5.583100445
ST99W	"cab,rash"	ae	a	long	86	1	4	5	0.152	0.277	5.583100445
TE72Y	"cab,rash"	ae	a	long	85	1	4	5	0.152	0.277	5.583100445
TG10Q	"cab,rash"	ae	a	long	28	4	4	5	0.152	0.277	5.583100445
TK67C	"cab,rash"	ae	a	long	31	1	4	5	0.152	0.277	5.583100445
WT24N	"cab,rash"	ae	a	long	32	1	4	5	0.152	0.277	5.583100445
XC35E	"cab,rash"	ae	a	long	74	3	4	5	0.152	0.277	5.583100445
XG23P	"cab,rash"	ae	a	long	83	3	4	5	0.152	0.277	5.583100445
XL12Q	"cab,rash"	ae	a	long	42	3	4	5	0.152	0.277	5.583100445
XQ79R	"cab,rash"	ae	a	long	12	1	4	5	0.152	0.277	5.583100445
XS38P	"cab,rash"	ae	a	long	31	1	4	5	0.152	0.277	5.583100445
XS96W	"cab,rash"	ae	a	long	87	2	4	5	0.152	0.277	5.583100445
YD48I	"cab,rash"	ae	a	long	6	3	4	5	0.152	0.277	5.583100445
YK76J	"cab,rash"	ae	a	long	84	3	4	5	0.152	0.277	5.583100445
YN47M	"cab,rash"	ae	a	long	83	5	4	5	0.152	0.277	5.583100445
YU22I	"cab,rash"	ae	a	long	77	4	4	5	0.152	0.277	5.583100445
ZZ5V	"cab,rash"	ae	a	long	54	2	4	5	0.152	0.277	5.583100445
AM25Y	"patch,cam"	ae	a	long	40	1	6	5	0.143	0.198	5.872462699
AR82M	"patch,cam"	ae	a	long	8	2	6	5	0.143	0.198	5.872462699
AY9B	"patch,cam"	ae	a	long	80	2	6	5	0.143	0.198	5.872462699
BA89W	"patch,cam"	ae	a	long	12	1	6	5	0.143	0.198	5.872462699
BS90M	"patch,cam"	ae	a	long	57	1	6	5	0.143	0.198	5.872462699
BU78I	"patch,cam"	ae	a	long	48	2	6	5	0.143	0.198	5.872462699
BW95G	"patch,cam"	ae	a	long	27	1	6	5	0.143	0.198	5.872462699
CK44O	"patch,cam"	ae	a	long	65	1	6	5	0.143	0.198	5.872462699
CM34Z	"patch,cam"	ae	a	long	58	5	6	5	0.143	0.198	5.872462699
DF61Q	"patch,cam"	ae	a	long	63	2	6	5	0.143	0.198	5.872462699
DR17G	"patch,cam"	ae	a	long	96	1	6	5	0.143	0.198	5.872462699
EK1N	"patch,cam"	ae	a	long	69	2	6	5	0.143	0.198	5.872462699
ES29S	"patch,cam"	ae	a	long	84	1	6	5	0.143	0.198	5.872462699
FJ83B	"patch,cam"	ae	a	long	52	5	6	5	0.143	0.198	5.872462699
FU75W	"patch,cam"	ae	a	long	86	2	6	5	0.143	0.198	5.872462699
FV16X	"patch,cam"	ae	a	long	40	1	6	5	0.143	0.198	5.872462699
IF59C	"patch,cam"	ae	a	long	79	1	6	5	0.143	0.198	5.872462699
JD94A	"patch,cam"	ae	a	long	88	3	6	5	0.143	0.198	5.872462699
JE33O	"patch,cam"	ae	a	long	24	2	6	5	0.143	0.198	5.872462699
JV42B	"patch,cam"	ae	a	long	67	2	6	5	0.143	0.198	5.872462699
JY36H	"patch,cam"	ae	a	long	62	1	6	5	0.143	0.198	5.872462699
KB4F	"patch,cam"	ae	a	long	31	5	6	5	0.143	0.198	5.872462699
KI71L	"patch,cam"	ae	a	long	94	1	6	5	0.143	0.198	5.872462699
KK92R	"patch,cam"	ae	a	long	52	4	6	5	0.143	0.198	5.872462699
KQ37E	"patch,cam"	ae	a	long	80	2	6	5	0.143	0.198	5.872462699
KQ52J	"patch,cam"	ae	a	long	86	1	6	5	0.143	0.198	5.872462699
KR28H	"patch,cam"	ae	a	long	8	4	6	5	0.143	0.198	5.872462699
KS15D	"patch,cam"	ae	a	long	27	1	6	5	0.143	0.198	5.872462699
LC70W	"patch,cam"	ae	a	long	23	1	6	5	0.143	0.198	5.872462699
LQ40Z	"patch,cam"	ae	a	long	20	2	6	5	0.143	0.198	5.872462699
LT30W	"patch,cam"	ae	a	long	28	2	6	5	0.143	0.198	5.872462699
LY2O	"patch,cam"	ae	a	long	68	3	6	5	0.143	0.198	5.872462699
LY53Q	"patch,cam"	ae	a	long	6	3	6	5	0.143	0.198	5.872462699
LZ43Z	"patch,cam"	ae	a	long	43	2	6	5	0.143	0.198	5.872462699
MC41U	"patch,cam"	ae	a	long	91	1	6	5	0.143	0.198	5.872462699
MO73Z	"patch,cam"	ae	a	long	72	1	6	5	0.143	0.198	5.872462699
NX13O	"patch,cam"	ae	a	long	96	1	6	5	0.143	0.198	5.872462699
NZ20B	"patch,cam"	ae	a	long	96	5	6	5	0.143	0.198	5.872462699
OG60T	"patch,cam"	ae	a	long	10	1	6	5	0.143	0.198	5.872462699
ON3K	"patch,cam"	ae	a	long	22	1	6	5	0.143	0.198	5.872462699
ON74R	"patch,cam"	ae	a	long	24	5	6	5	0.143	0.198	5.872462699
OQ69Y	"patch,cam"	ae	a	long	24	3	6	5	0.143	0.198	5.872462699
OR11R	"patch,cam"	ae	a	long	54	1	6	5	0.143	0.198	5.872462699
OS26T	"patch,cam"	ae	a	long	79	1	6	5	0.143	0.198	5.872462699
PE14D	"patch,cam"	ae	a	long	70	1	6	5	0.143	0.198	5.872462699
PQ27D	"patch,cam"	ae	a	long	17	1	6	5	0.143	0.198	5.872462699
PW18G	"patch,cam"	ae	a	long	57	1	6	5	0.143	0.198	5.872462699
PX84R	"patch,cam"	ae	a	long	49	1	6	5	0.143	0.198	5.872462699
QR21P	"patch,cam"	ae	a	long	35	1	6	5	0.143	0.198	5.872462699
QW31L	"patch,cam"	ae	a	long	52	1	6	5	0.143	0.198	5.872462699
RB39H	"patch,cam"	ae	a	long	47	1	6	5	0.143	0.198	5.872462699
RL68G	"patch,cam"	ae	a	long	77	4	6	5	0.143	0.198	5.872462699
SG77E	"patch,cam"	ae	a	long	6	1	6	5	0.143	0.198	5.872462699
SK19G	"patch,cam"	ae	a	long	41	1	6	5	0.143	0.198	5.872462699
SK66K	"patch,cam"	ae	a	long	15	1	6	5	0.143	0.198	5.872462699
SQ87Z	"patch,cam"	ae	a	long	34	1	6	5	0.143	0.198	5.872462699
ST99W	"patch,cam"	ae	a	long	65	1	6	5	0.143	0.198	5.872462699
TE72Y	"patch,cam"	ae	a	long	39	1	6	5	0.143	0.198	5.872462699
TG10Q	"patch,cam"	ae	a	long	60	3	6	5	0.143	0.198	5.872462699
TK67C	"patch,cam"	ae	a	long	22	1	6	5	0.143	0.198	5.872462699
WT24N	"patch,cam"	ae	a	long	16	1	6	5	0.143	0.198	5.872462699
XC35E	"patch,cam"	ae	a	long	39	3	6	5	0.143	0.198	5.872462699
XG23P	"patch,cam"	ae	a	long	45	1	6	5	0.143	0.198	5.872462699
XL12Q	"patch,cam"	ae	a	long	21	1	6	5	0.143	0.198	5.872462699
XQ79R	"patch,cam"	ae	a	long	67	1	6	5	0.143	0.198	5.872462699
XS38P	"patch,cam"	ae	a	long	53	1	6	5	0.143	0.198	5.872462699
XS96W	"patch,cam"	ae	a	long	43	1	6	5	0.143	0.198	5.872462699
YD48I	"patch,cam"	ae	a	long	21	1	6	5	0.143	0.198	5.872462699
YK76J	"patch,cam"	ae	a	long	50	4	6	5	0.143	0.198	5.872462699
YN47M	"patch,cam"	ae	a	long	92	4	6	5	0.143	0.198	5.872462699
YU22I	"patch,cam"	ae	a	long	23	1	6	5	0.143	0.198	5.872462699
ZZ5V	"patch,cam"	ae	a	long	24	1	6	5	0.143	0.198	5.872462699
AM25Y	"mad,badge"	ae	a	long	20	1	3	4	0.281	0.749	2.205685268
AR82M	"mad,badge"	ae	a	long	49	3	3	4	0.281	0.749	2.205685268
AY9B	"mad,badge"	ae	a	long	87	2	3	4	0.281	0.749	2.205685268
BA89W	"mad,badge"	ae	a	long	90	4	3	4	0.281	0.749	2.205685268
BS90M	"mad,badge"	ae	a	long	50	1	3	4	0.281	0.749	2.205685268
