stimulus,response,count,context
p,p,2295,CV
t,p,6,CV
k,p,39,CV
f,p,384,CV
th,p,129,CV
s,p,10,CV
sh,p,1,CV
p,t,15,CV
t,t,2254,CV
k,t,14,CV
f,t,24,CV
th,t,44,CV
s,t,25,CV
sh,t,0,CV
p,k,23,CV
t,k,5,CV
k,k,2251,CV
f,k,20,CV
th,k,12,CV
s,k,1,CV
sh,k,2,CV
p,f,9,CV
t,f,24,CV
k,f,4,CV
f,f,1678,CV
th,f,670,CV
s,f,84,CV
sh,f,2,CV
p,th,0,CV
t,th,3,CV
k,th,6,CV
f,th,113,CV
th,th,1274,CV
s,th,87,CV
sh,th,3,CV
p,s,1,CV
t,s,1,CV
k,s,2,CV
f,s,65,CV
th,s,197,CV
s,s,2106,CV
sh,s,38,CV
p,sh,0,CV
t,sh,1,CV
k,sh,0,CV
f,sh,0,CV
th,sh,3,CV
s,sh,27,CV
sh,sh,2302,CV
p,p,1007,C#C
t,p,76,C#C
k,p,32,C#C
f,p,431,C#C
th,p,249,C#C
s,p,17,C#C
sh,p,1,C#C
p,t,37,C#C
t,t,950,C#C
k,t,13,C#C
f,t,35,C#C
th,t,52,C#C
s,t,29,C#C
sh,t,0,C#C
p,k,38,C#C
t,k,38,C#C
k,k,1063,C#C
f,k,90,C#C
th,k,104,C#C
s,k,9,C#C
sh,k,0,C#C
p,f,32,C#C
t,f,11,C#C
k,f,15,C#C
f,f,366,C#C
th,f,122,C#C
s,f,41,C#C
sh,f,3,C#C
p,th,42,C#C
t,th,72,C#C
k,th,14,C#C
f,th,184,C#C
th,th,589,C#C
s,th,180,C#C
sh,th,7,C#C
p,s,2,C#C
t,s,2,C#C
k,s,1,C#C
f,s,19,C#C
th,s,23,C#C
s,s,748,C#C
sh,s,31,C#C
p,sh,0,C#C
t,sh,0,C#C
k,sh,0,C#C
f,sh,6,C#C
th,sh,0,C#C
s,sh,81,C#C
sh,sh,1119,C#C
p,p,1005,C#V
t,p,25,C#V
k,p,27,C#V
f,p,192,C#V
th,p,53,C#V
s,p,11,C#V
sh,p,0,C#V
p,t,4,C#V
t,t,1090,C#V
k,t,10,C#V
f,t,15,C#V
th,t,29,C#V
s,t,10,C#V
sh,t,0,C#V
p,k,3,C#V
t,k,7,C#V
k,k,1084,C#V
f,k,23,C#V
th,k,18,C#V
s,k,5,C#V
sh,k,0,C#V
p,f,73,C#V
t,f,3,C#V
k,f,9,C#V
f,f,660,C#V
th,f,184,C#V
s,f,34,C#V
sh,f,0,C#V
p,th,60,C#V
t,th,24,C#V
k,th,11,C#V
f,th,218,C#V
th,th,810,C#V
s,th,90,C#V
sh,th,1,C#V
p,s,7,C#V
t,s,1,C#V
k,s,1,C#V
f,s,28,C#V
th,s,54,C#V
s,s,911,C#V
sh,s,23,C#V
p,sh,0,C#V
t,sh,0,C#V
k,sh,0,C#V
f,sh,3,C#V
th,sh,1,C#V
s,sh,84,C#V
sh,sh,1131,C#V
